hipotese,n1,n2,cohens_d,power_atual,n_necessario,magnitude
H1 Spending: F vs M,112,88,0.11667375201015631,0.129678352625413,1154,Negligível
H3 Spending: Jovem vs Maduro,98,102,0.8739487993798556,0.9999877061410823,21,Grande
