idade,renda,genero,n,spending_medio,ic_lower,ic_upper,prioridade
Jovem (18-35),Renda Alta,Female,27,65.5925925925926,24.8,91.8,ALTA
Jovem (18-35),Renda Média,Male,18,64.05555555555556,38.4,92.0,ALTA
Jovem (18-35),Renda Média,Female,30,59.8,19.050000000000004,96.19999999999999,MEDIA
Jovem (18-35),Renda Alta,Male,23,53.78260869565217,5.0,96.6,MEDIA
Maduro (36+),Renda Alta,Male,26,41.69230769230769,9.25,91.75,MEDIA
Maduro (36+),Renda Alta,Female,26,40.23076923076923,8.5,82.75,MEDIA
Maduro (36+),Renda Média,Female,29,40.0,14.0,57.199999999999996,BAIXA
Maduro (36+),Renda Média,Male,21,37.857142857142854,4.0,56.0,BAIXA
